{'timestamp': 1599538153.982885, 'exchange_1': 'livecoin', 'exchange_2': 'bibox', 'currency': 'EOSDAC/BTC', 'value': True, 'buy_name': 'eosdac', 'sell_name': 'eosdac community owned...tokens'}
{'timestamp': 1599538862.7274687, 'exchange_1': 'crex24', 'exchange_2': 'bitz', 'currency': 'EDCC/BTC', 'value': True, 'buy_name': 'edcc', 'sell_name': 'edcc blockchain'}
{'timestamp': 1599539799.4796178, 'exchange_1': 'coinegg', 'exchange_2': 'bigone', 'currency': 'AIT/BTC', 'value': True, 'buy_name': '智能链', 'sell_name': 'aichain'}
{'timestamp': 1599539967.208313, 'exchange_1': 'bitmart', 'exchange_2': 'oceanex', 'currency': 'HAI/BTC', 'value': True, 'buy_name': 'hackenai', 'sell_name': 'N/A'}
{'timestamp': 1599540204.119489, 'exchange_1': 'huobipro', 'exchange_2': 'hitbtc', 'currency': 'GNX/BTC', 'value': True, 'buy_name': 'n/a', 'sell_name': 'genaro network'}
{'timestamp': 1599540340.745571, 'exchange_1': 'digifinex', 'exchange_2': 'hitbtc', 'currency': 'GNX/BTC', 'value': True, 'buy_name': 'gnx', 'sell_name': 'genaro network'}
{'timestamp': 1601837689.6885192, 'exchange_1': 'bitz', 'exchange_2': 'digifinex', 'currency': 'UCA/BTC', 'value': True, 'buy_name': 'uca coin', 'sell_name': 'uca coin'}
{'timestamp': 1601837789.3404598, 'exchange_1': 'btcalpha', 'exchange_2': 'exmo', 'currency': 'PTI/BTC', 'value': True, 'buy_name': 'paytomat', 'sell_name': 'N/A'}
{'timestamp': 1601838227.281679, 'exchange_1': 'digifinex', 'exchange_2': 'crex24', 'currency': 'PLF/BTC', 'value': True, 'buy_name': 'playfuel', 'sell_name': 'playfuel'}
{'timestamp': 1601838347.2844782, 'exchange_1': 'okex', 'exchange_2': 'coinegg', 'currency': 'INT/BTC', 'value': True, 'buy_name': 'internet node token', 'sell_name': '英特币'}
{'timestamp': 1601838427.7403913, 'exchange_1': 'livecoin', 'exchange_2': 'btcalpha', 'currency': 'PZM/BTC', 'value': True, 'buy_name': 'prizm', 'sell_name': 'prizm'}
