Datetime,Buyexchange,Sellexchange,Currency,Result
Aug 28 2019 09:45:31 PM,mandala,poloniex,STORJ/BTC,null
Aug 29 2019 03:42:00 AM,latoken,bitmart,GNY/BTC,null
Aug 29 2019 04:40:28 AM,bitforex,liquid,TPAY/BTC,null
Aug 29 2019 09:08:14 PM,livecoin,crex24,XZC/BTC,null
Aug 29 2019 11:03:31 PM,crex24,lakebtc,XRP/BTC,null
Aug 30 2019 05:07:14 AM,crex24,latoken,XBM/BTC,null
Aug 30 2019 06:22:29 PM,btcalpha,bitz,MIN/BTC,null
Sep 04 2019 03:43:48 AM,bitforex,digifinex,MESG/BTC,fail
Sep 04 2019 03:48:14 AM,bitforex,digifinex,MESG/BTC,fail
Sep 04 2019 04:02:24 AM,bitforex,digifinex,MESG/BTC,fail
Sep 04 2019 04:49:50 AM,okex3,liquid,ETC/BTC,null
Sep 04 2019 05:36:51 AM,southxchange,hitbtc2,LCC/BTC,fail
Sep 04 2019 05:45:37 AM,huobipro,livecoin,NEXO/BTC,success
Sep 04 2019 06:36:19 AM,livecoin,bittrex,SHIFT/BTC,success
Sep 04 2019 04:57:08 PM,crex24,latoken,XBM/BTC,success
Sep 04 2019 05:07:15 PM,bittrex,hitbtc2,NLC2/BTC,fail
Sep 04 2019 08:08:08 PM,binance,livecoin,LOOM/BTC,success
Sep 04 2019 08:11:17 PM,kucoin,livecoin,AOA/BTC,success
Sep 04 2019 08:34:35 PM,crex24,coinfalcon,DOGE/BTC,success
Sep 04 2019 09:06:26 PM,bitz,coinfalcon,DOGE/BTC,success
Sep 04 2019 09:24:05 PM,bitforex,digifinex,ELAC/BTC,success
Sep 04 2019 09:42:28 PM,btcalpha,bitmart,UBEX/BTC,fail
Sep 04 2019 09:46:42 PM,kucoin,latoken,CPC/BTC,fail
Sep 04 2019 10:08:23 PM,huobipro,kucoin,LYM/BTC,fail
Sep 05 2019 12:58:04 PM,latoken,livecoin,LOOM/BTC,fail
Sep 05 2019 01:02:49 PM,bitforex,digifinex,ELAC/BTC,null
Sep 05 2019 01:07:44 PM,bitmart,latoken,MT/BTC,null
Sep 05 2019 01:17:06 PM,poloniex,bittrex,GRIN/BTC,fail
Sep 05 2019 07:43:53 PM,bitbay,bitforex,FTO/BTC,fail
Sep 05 2019 08:11:50 PM,crex24,livecoin,VRS/BTC,success
Sep 08 2019 03:35:31 AM,yobit,livecoin,NMC/BTC,null
Sep 08 2019 03:59:20 AM,cobinhood,exmo,DOGE/BTC,null
Sep 08 2019 04:19:20 AM,southxchange,crex24,OMEGA/BTC,success
Sep 08 2019 03:58:10 PM,bitz,bitforex,WWB/BTC,success
Sep 08 2019 04:19:27 PM,poloniex,livecoin,LOOM/BTC,success
Sep 08 2019 04:50:57 PM,bitmart,latoken,JCT/BTC,success
Sep 08 2019 08:55:56 PM,southxchange,crex24,POLIS/BTC,success
Sep 08 2019 09:57:21 PM,digifinex,bitforex,IST/BTC,fail
Sep 09 2019 10:24:22 AM,tidex,hitbtc2,SUB/BTC,fail
Sep 09 2019 10:56:10 AM,crex24,btcalpha,WIX/BTC,success
Sep 09 2019 03:07:29 PM,okex3,hitbtc2,CVT/BTC,fail
Sep 10 2019 01:20:04 AM,coinegg,hitbtc2,FREC/BTC,null
Sep 10 2019 02:36:24 AM,btcalpha,livecoin,PZM/BTC,null
Sep 10 2019 03:27:31 AM,btcalpha,livecoin,PZM/BTC,null
Sep 10 2019 03:48:09 AM,binance,digifinex,MITH/BTC,null
Sep 12 2019 03:10:54 PM,bitforex,digifinex,IST/BTC,success
Sep 12 2019 03:11:49 PM,crex24,latoken,XBM/BTC,success
Sep 12 2019 03:57:21 PM,livecoin,crex24,DMD/BTC,fail
Sep 12 2019 04:33:21 PM,digifinex,crex24,BST/BTC,fail
Sep 12 2019 04:51:36 PM,poloniex,coinegg,XPM/BTC,null
Sep 12 2019 05:04:07 PM,poloniex,coinegg,XPM/BTC,success
Sep 12 2019 05:18:42 PM,digifinex,bitforex,MESG/BTC,success
Sep 12 2019 05:24:06 PM,huobipro,lbank,PNT/BTC,success
Sep 12 2019 05:36:19 PM,digifinex,bitforex,MESG/BTC,success
Sep 12 2019 06:14:15 PM,crex24,latoken,XBM/BTC,fail
Sep 12 2019 06:24:11 PM,crex24,latoken,XBM/BTC,success
Sep 12 2019 10:19:04 PM,poloniex,coinegg,XPM/BTC,success
Sep 12 2019 11:04:26 PM,digifinex,crex24,BST/BTC,success
Sep 13 2019 04:39:10 AM,poloniex,coinegg,XPM/BTC,success
Sep 13 2019 11:03:24 AM,poloniex,coinegg,XPM/BTC,success
Sep 13 2019 11:39:02 AM,poloniex,coinegg,XPM/BTC,success
Sep 13 2019 02:28:02 PM,upbit,kucoin,WAXP/BTC,fail
Sep 13 2019 04:11:19 PM,kraken,exmo,DASH/BTC,fail
Sep 13 2019 04:13:08 PM,poloniex,coinegg,XPM/BTC,success
Sep 13 2019 10:09:41 PM,crex24,btcalpha,WIX/BTC,success
Sep 14 2019 02:05:28 PM,digifinex,exmo,ETZ/BTC,null
Sep 14 2019 02:15:18 PM,poloniex,coinegg,XPM/BTC,success
Sep 14 2019 02:22:11 PM,southxchange,crex24,TNET/BTC,fail
Sep 14 2019 05:36:05 PM,digifinex,bitforex,MESG/BTC,fail
Sep 14 2019 09:52:00 PM,southxchange,bitforex,FTO/BTC,success
Sep 14 2019 11:20:41 PM,tidex,btcalpha,REM/BTC,fail
Sep 14 2019 11:51:22 PM,digifinex,bitforex,MESG/BTC,success
Sep 15 2019 12:18:06 AM,digifinex,bitforex,MESG/BTC,success
Sep 15 2019 01:09:23 AM,binance,bittrex,DUSK/BTC,null
Sep 15 2019 01:27:39 AM,crex24,digifinex,BST/BTC,success
Sep 15 2019 12:34:22 PM,digifinex,bitforex,MESG/BTC,fail
Sep 15 2019 07:12:37 PM,kucoin,tidex,DRGN/BTC,success
Sep 15 2019 07:17:42 PM,southxchange,bitforex,FTO/BTC,success
Sep 15 2019 07:24:09 PM,huobipro,livecoin,GAS/BTC,null
Sep 15 2019 10:21:45 PM,coinegg,exmo,INK/BTC,success
Sep 16 2019 10:38:38 AM,coinegg,hitbtc2,FREC/BTC,fail
Sep 16 2019 10:54:49 AM,bittrex,livecoin,MCO/BTC,fail
Sep 16 2019 11:33:07 AM,bittrex,crex24,CRW/BTC,success
Sep 16 2019 12:16:09 PM,bittrex,upbit,VBK/BTC,fail
Sep 16 2019 01:12:07 PM,bittrex,upbit,VBK/BTC,fail
Sep 16 2019 01:59:26 PM,crex24,latoken,XBM/BTC,success
Sep 16 2019 02:28:29 PM,bittrex,crex24,CRW/BTC,success
Sep 16 2019 03:04:31 PM,digifinex,kucoin,UTK/BTC,success
Sep 16 2019 05:56:05 PM,huobipro,crex24,BSV/BTC,null
Sep 16 2019 06:35:23 PM,southxchange,hitbtc2,LCC/BTC,success
Sep 16 2019 10:08:00 PM,kucoin,digifinex,NRG/BTC,success
Sep 16 2019 10:13:13 PM,digifinex,hitbtc2,UTK/BTC,fail
