{'timestamp': 1575491916.5357113, 'currency': 'LOOM/BTC', 'exchange': 'hitbtc', 'depositmode': False}
{'timestamp': 1575495237.5937397, 'currency': 'CRO/BTC', 'exchange': 'hitbtc', 'depositmode': False}
{'timestamp': 1575495237.5937397, 'currency': 'ABBC/BTC', 'exchange': 'bitz', 'depositmode': False}
{'timestamp': 1575495237.5937397, 'currency': 'TRX/BTC', 'exchange': 'bittrex', 'withdrawmode': False}
{'timestamp': 1575505528.9689996, 'currency': 'COTI/BTC', 'exchange': 'kucoin', 'withdrawmode': False}
{'timestamp': 1575509458.8354802, 'currency': 'MAN/BTC', 'exchange': 'kucoin', 'depositmode': False}
{'timestamp': 1575509458.8354802, 'currency': 'TRX/BTC', 'exchange': 'bittrex', 'depositmode': False}
{'timestamp': 1575512137.7732253, 'currency': 'LINK/BTC', 'exchange': 'huobipro', 'withdrawmode': False}
{'timestamp': 1575972373.4177136, 'currency': 'INK/BTC', 'exchange': 'gateio', 'withdrawmode': False}
{'timestamp': 1575611331.6488729, 'currency': 'DADI/BTC', 'exchange': 'kucoin', 'depositmode': False}
{'timestamp': 1575615102.1431603, 'currency': 'COTI/BTC', 'exchange': 'kucoin', 'depositmode': False}
{'timestamp': 1575619168.0609026, 'currency': 'MAN/BTC', 'exchange': 'kucoin', 'withdrawmode': False}
{'timestamp': 1575619168.0609026, 'currency': 'AOA/BTC', 'exchange': 'coinegg', 'withdrawmode': False}
{'timestamp': 1575619168.0609026, 'currency': 'AOA/BTC', 'exchange': 'coinegg', 'depositmode': False}
{'timestamp': 1575644505.1618066, 'currency': 'JNT/BTC', 'exchange': 'gateio', 'depositmode': True}
{'timestamp': 1575645256.220827, 'currency': 'SPC/BTC', 'exchange': 'coinegg', 'withdrawmode': False}
{'timestamp': 1575648646.0845356, 'currency': 'AAC/BTC', 'exchange': 'okex3', 'withdrawmode': False}
{'timestamp': 1575679695.3694887, 'currency': 'OCN/BTC', 'exchange': 'gateio', 'depositmode': True}
{'timestamp': 1575751445.1745481, 'currency': 'ENQ/BTC', 'exchange': 'crex24', 'depositmode': False}
{'timestamp': 1575928172.2707725, 'currency': 'ONE/BTC', 'exchange': 'bitmax', 'withdrawmode': False}
{'timestamp': 1575928186.6119282, 'currency': 'CCRB/BTC', 'exchange': 'livecoin', 'depositmode': False}
{'timestamp': 1575932986.4790297, 'currency': 'SPC/BTC', 'exchange': 'hitbtc', 'withdrawmode': False}
{'timestamp': 1575941159.9729564, 'currency': 'ONE/BTC', 'exchange': 'hitbtc', 'withdrawmode': False}
{'timestamp': 1575946323.8068213, 'currency': 'ONE/BTC', 'exchange': 'kucoin', 'withdrawmode': False}
